"CREATE_MANAGER","Criar Treinador"
"MANAGER","Treinador"
"NAME","Nome"
"SURNAME","Sobrenome"
"YOUR_NAME","Seu nome"
"YOUR_SURNAME","Seu sobrenome"
"PLAYER_NAMES","Nomes dos jogadores"
"BIRTH_DATE","Dia de nascimento"
"START_YEAR","Ano do início"
"FAV_TEAM","Time Favorito"
"NATIONALITY","Nacionalidade"
"BACK","Voltar"
"CONTINUE","Continuar"
"CANCEL","Cancelar"
"FIELD","Campo"
"STATS","Estatísticas"
"POSSESSION","Posse"
"SHOTS","Chutes"
"SHOTS_ON_TARGET","Chutes no alvo"
"FOULS","Faltas"
"FREE_KICKS","Cobranças de falta"
"PAUSE","Pausar"
"PENALTIES","Pênaltis (6m)"
"PENALTIES_10M","Pênaltis (10m)"
"TACKLES","Desarmes"
"TACKLES_SUCCESS","Desarmes bem-sucedidos"
"PASSES","Passes"
"PASSES_SUCCESS","Passes bem-sucedidos"
"KICK_INS","Laterais"
"CORNERS","Escanteio"
"YELLOW_CARDS","Cartões amarelos"
"RED_CARDS","Cartões vermelhos"
"SIMULATE","Simular"
"EVENTS","Eventos"
"TACTICS","Táticas"
"FORMATION","Formação"
"COMMENTARY","Narração"
"CHANGE_STRATEGY","Alterar estratégia"
"AUTO","Automático"
"MANUAL","Manual"
"START","Iniciar"
"CALENDAR","Calendário"
"TABLE","Classificação"
"EMAIL","E-Mail"
"SEARCH_PLAYER","Procurar jogador"
"MENU","Menu"
"SETTINGS","Configurações"
"START_MATCH","Iniciar partida"
"NEXT_DAY","Continuar Jogo"
"NEXT_MATCH","Próxima partida"
"WELCOME","Bem-vindo"
"MALE","Homem"
"FEMALE","Mulher"
"MIXED","Misto"
"WORLD","Mundo"
"CONTINENTS","Continentes"
"ITALY","Itália"
"SPAIN","Espanha"
"ROMANIA","Romênia"
"NEW_GAME","Novo jogo"
"LOAD_GAME","Carregar jogo"
"DARK","Escuro"
"LIGHT","Claro"
"SOLARIZED_LIGHT","Claro solarizado"
"SOLARIZED_DARK","Escuro solarizado"
"HACKER","Hacker"
"RED","Vermelho"
"CUSTOM","Personalizado"
"DEFAULT_SETTINGS","Configurações originais"
"THEME","Tema"
"RESOLUTION","Resolução"
"VERSION","Versão"
"DELETE","Deletar"
"TEAM","Time"
"TABLE_PLACEMENT","Posição na tabela"
"LAST_SAVE","Último save"
"CREATED","Criado"
"GAME_DATE","Data no jogo"
"STAR","Estrela"
"SUBJECT","Assunto"
"FROM","De"
"TO","Para"
"DATE","Data"
"UNREAD","Não-lido"
"STARRED","Favoritado"
"SEARCH","Procurar"
"INFO","Informação"
"PLAYERS","Jogadores"
"PLAYER","Jogador"
"SEED","Semente"
"START_DATE","Data de início"
"COPY","Copiar"
"MONDAY","Segunda-feira"
"TUESDAY","Terça-feira"
"WEDNESDAY","Quarta-feira"
"THURSDAY","Quinta-feira"
"FRIDAY","Sexta-feira"
"SATURDAY","Sábado"
"SUNDAY","Domingo"
"MON","Seg"
"TUE","Ter"
"WED","Qua"
"THU","Qui"
"FRI","Sex"
"SAT","Sáb"
"SUN","Dom"
"JANUARY","Janeiro"
"FEBRUARY","Fevereiro"
"MARCH","Março"
"APRIL","Abril"
"MAY","Maio"
"JUNE","Junho"
"JULY","Julho"
"AUGUST","Agosto"
"SEPTEMBER","Setembro"
"OCTOBER","Outubro"
"NOVEMBER","Novembro"
"DECEMBER","Dezembro"
"JAN","Jan"
"FEB","Fev"
"MAR","Mar"
"APR","Abr"
"JUN","Jun"
"JUL","Jul"
"AUG","Ago"
"SEP","Set"
"OCT","Out"
"NOV","Nov"
"DEC","Dez"
"GENERATION_SEED","Semente de geração"
"GENERATION_SEED_DESCRIPTION","GENERATION_SEED_DESCRIPTION"
"PLAYED","Jogado(s)"
"WIN","Vitória"
"DRAW","Empate"
"LOST","Derrota"
"GOALS","Gols"
"GOALS_CONCEDED","Gols contra"
"POINTS","Pontos"
"TACTIC_OFFENSE","Tática ofensiva"
"TACTIC_DEFENSE","Tática defensiva"
"INTENSITY","Intensidade"
"MARKING","Marcação"
"PRESSING","Pressão"
"CUT_INSIDE","Corte para dentro"
"ROTATION","Rotação"
"ZONE","Zona"
"FULL_COURT","Quadra inteira"
"HALF_COURT","Meia quadra"
